City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,vershino-darasunskiy,52.35,115.5167,28.42,58,81,3.2,RU,1697407311
118,puerto aysen,-45.4,-72.7,46.45,95,92,3.49,CL,1697407311
119,darwin,-12.4611,130.8418,76.98,88,0,1.14,AU,1697407210
120,ostashkov,57.1467,33.1075,45.61,77,95,9.71,RU,1697407311
121,qorveh,35.1664,47.8045,58.35,34,45,5.14,IR,1697407312
122,ouadda,8.0777,22.4007,68.14,95,100,3.22,CF,1697407312
123,atafu village,-8.5421,-172.5159,82.71,78,99,20.15,TK,1697407312
124,brookings,44.3114,-96.7984,55.11,54,20,10.36,US,1697407187
125,mount pearl,47.5166,-52.7813,52.95,83,75,8.05,CA,1697407313
126,soe,-9.8607,124.284,67.12,56,49,4.27,ID,1697407313
127,mugia,43.1041,-9.2179,65.16,90,94,18.28,ES,1697407313
128,saint-francois,46.4154,3.9054,45.68,81,0,4.61,FR,1697407313
129,takoradi,4.8845,-1.7554,77.5,89,53,8.37,GH,1697407313
130,alaverdi,41.0977,44.6732,50.95,87,83,0.98,AM,1697407314
131,hirado,33.3597,129.5531,67.6,58,30,13.51,JP,1697407314
132,colonia,50.9333,6.95,45.97,86,0,1.14,DE,1697407227
133,dongcun,36.7767,121.1597,52.83,52,0,4.88,CN,1697407314
134,jabat,7.75,168.9751,82.96,74,13,9.51,MH,1697407315
135,cabo san lucas,22.8909,-109.9124,92.61,65,1,10.47,MX,1697407201
136,gizo,-8.103,156.8419,82.71,76,74,9.64,SB,1697407315
137,whakatane,-37.9585,176.9854,62.89,54,100,3.58,NZ,1697407316
138,punta del este,-34.9667,-54.95,68.11,79,20,15.01,UY,1697407316
139,bardai,11.65,7.2333,76.62,35,21,3.11,NG,1697407316
140,tiksi,71.6872,128.8694,15.01,88,100,16.08,RU,1697407317
141,pailon,-17.65,-62.75,94.68,26,24,10.78,BO,1697407317
142,kantabanji,20.4833,82.9167,71.08,75,5,2.89,IN,1697407317
143,ukiah,39.1502,-123.2078,83.44,38,0,9.22,US,1697407053
144,siwa oasis,29.2041,25.5195,75.13,38,0,5.93,EG,1697407317
145,dien bien phu,21.3833,103.0167,64.92,99,98,2.46,VN,1697407129
146,al bardiyah,31.7561,25.0865,71.65,73,0,9.95,LY,1697407318
147,port moresby,-9.4431,147.1797,74.62,94,75,4.61,PG,1697407318
148,fortuna,40.5982,-124.1573,71.92,83,0,9.22,US,1697407318
149,rio grande,-32.035,-52.0986,68.11,87,40,19.75,BR,1697407122
150,dukhan,25.4297,50.7858,84.69,58,0,5.86,QA,1697407319
151,holualoa,19.6228,-155.9522,79.77,77,89,5.01,US,1697407319
152,yanjiang,30.1211,104.6481,65.95,85,100,2.51,CN,1697407319
153,cidreira,-30.1811,-50.2056,64.8,86,12,22.64,BR,1697407193
154,alesund,62.4723,6.1549,45.75,81,75,8.05,NO,1697407320
155,zhangatas,43.5667,69.75,44.02,53,4,9.57,KZ,1697407320
156,colesberg,-30.72,25.0972,56.17,66,100,17.31,ZA,1697407320
157,mukalla,14.5425,49.1242,79.34,79,67,3.0,YE,1697407320
158,arraial do cabo,-22.9661,-42.0278,73.36,83,75,11.5,BR,1697407321
159,rongelap,11.1635,166.8941,82.81,76,30,13.69,MH,1697407321
160,kristiansund,63.1115,7.732,41.05,81,75,5.75,NO,1697407321
161,juan griego,11.0817,-63.9655,100.53,44,27,11.5,VE,1697407321
162,wynyard,-41.0,145.7167,51.31,61,18,12.08,AU,1697407322
163,nova sintra,14.8667,-24.7167,76.8,73,100,9.8,CV,1697407322
164,briar,32.9951,-97.5428,68.04,45,0,3.0,US,1697407323
165,pangoa,-12.1167,-73.0,81.12,67,32,2.95,PE,1697407323
166,alaghsas,17.0187,8.0168,85.68,14,0,15.03,NE,1697407323
167,codajas,-3.8367,-62.0569,85.91,52,91,1.77,BR,1697407323
168,mandiana,10.6333,-8.6833,74.12,75,89,6.64,GN,1697407323
169,yellowknife,62.456,-114.3525,50.41,86,40,16.11,CA,1697407067
170,queenstown,-31.8976,26.8753,53.2,87,100,9.89,ZA,1697407324
171,galle,6.0367,80.217,78.46,86,84,4.07,LK,1697407325
